global_train_loss,global_train_acc,global_val_loss,global_val_acc
0.7432682230308012,0.6989483585810886,1.4030546678553113,0.30122591943957966
0.6258266245302717,0.7490878319670583,0.9510836929030677,0.626970227670753
0.5266247235412316,0.792024252956065,0.4938396179425529,0.8231173380035026
0.4423021581483272,0.8287858411091383,0.49290337474876444,0.8283712784588442
0.3902459916182529,0.8547859922178989,0.5346915753209236,0.7915936952714536
0.37676156953846895,0.8585992217898835,0.38144763051524055,0.8598949211908932
0.3169414945186825,0.8838569000037777,0.34133212297058774,0.8914185639229422
0.276109932946501,0.8996847115711534,0.2669561012613794,0.9071803852889667
0.2652028159669242,0.9032616825960487,0.33309601041147463,0.8879159369527145
0.26603869334617014,0.902684824902724,0.23296797285981855,0.9089316987740805
0.239430409898032,0.913501945525292,0.24161248584971118,0.9159369527145359
0.232274282607905,0.9166813494012317,0.21306817382313115,0.9211908931698775
0.21972306836584896,0.9210894941634242,0.27476117025323593,0.8896672504378283
0.18988596390322535,0.9304510596501834,0.22794439062971994,0.9211908931698775
0.20539954793498155,0.926342412451362,0.21652238266689347,0.9211908931698775
0.18345540100295488,0.9351361867704281,0.17210274504174702,0.9281961471103327
0.15585670987694936,0.9444357976653697,0.15938696779323752,0.9404553415061296
0.18612044250570847,0.9331128404669261,0.15505518658566184,0.9352014010507881
0.1751694999954116,0.9373540856031128,0.1582290788822124,0.9352014010507881
0.1599905128791522,0.9429571984435798,0.15209309738488205,0.9439579684763573
0.15095449391875693,0.9486381322957198,0.18758440471781115,0.9194395796847635
0.14685202769377065,0.9480933852140078,0.15552477097553047,0.9439579684763573
0.14521452043864896,0.9495895886063994,0.129059360605614,0.9544658493870403
0.13811385161935724,0.9541795172075102,0.13129703575278748,0.9597197898423818
0.12251740602504531,0.9578385402893732,0.16563188653902497,0.9457092819614711
0.12643726577059955,0.9574890257262665,0.16667435113373236,0.9352014010507881
0.12345103568872182,0.9580544747081712,0.15666295935101351,0.9439579684763573
0.1125808348091399,0.9608560311284047,0.12591976318801973,0.9492119089316988
0.11374984546180389,0.9619613917116844,0.13103682209856665,0.9509632224168126
0.12093226992730513,0.9570557213554457,0.129573728850082,0.9544658493870403
0.10191075136727094,0.9637887499527785,0.1441566124688932,0.9544658493870403
0.10076546265829,0.9650699255789356,0.1163979890885161,0.9509632224168126
0.10304232718171517,0.9653801518643043,0.11256809785779429,0.9614711033274956
0.09561225426371833,0.966934758792641,0.1334002974154444,0.9492119089316988
0.10274313111954407,0.9647470817120622,0.11937420884385418,0.9509632224168126
0.09870163151620123,0.9672864644327754,0.13484617825042972,0.9492119089316988
0.08422683275645164,0.9717982698046919,0.12409122097721868,0.957968476357268
0.09046343534532043,0.9697382796267613,0.11995607356160827,0.9562171628721541
0.08830021804763485,0.9705836575875486,0.11976481465241119,0.9597197898423818
0.09508845237154398,0.9684824902723734,0.12817776317980578,0.9509632224168126
0.09715310566522298,0.9682490272373542,0.11782795044670172,0.957968476357268
0.08114012877185842,0.972616221525443,0.10047267132068474,0.9649737302977233
0.07429971254319279,0.9751750972762647,0.14643331099099327,0.9527145359019265
0.07338533862662214,0.975603112840467,0.1074038840138766,0.9632224168126094
0.07705497612029547,0.9742892977220355,0.14372366792057525,0.9544658493870403
0.08495257030045628,0.9709809980733632,0.1025869398004328,0.9632224168126094
0.08057581063427617,0.9739366098749576,0.09864294142731435,0.968476357267951
0.06767703518924131,0.9766233991915682,0.10793775741513265,0.9614711033274956
0.07895037435219411,0.9741312379585206,0.1248958138471727,0.9597197898423818
0.07346606362889235,0.9743656076461032,0.1101211646470631,0.968476357267951
0.07060641711573772,0.9754164935212121,0.12864024485681605,0.9614711033274956
0.06926417572255286,0.9772811000717768,0.12773396996634437,0.9597197898423818
0.08487913025837983,0.9716731517509727,0.08424468170166433,0.968476357267951
0.0722255929350601,0.9767704280155642,0.10490973755691181,0.9632224168126094
0.05374745448788084,0.9826526387367309,0.09344280115124849,0.9632224168126094
0.056459533693875616,0.9813296815382874,0.10052281504271848,0.968476357267951
0.06609881287278728,0.9789939178723888,0.09896527280323142,0.9667250437828371
0.07606421197240706,0.9761867704280156,0.10203409766135721,0.9719789842381786
0.06777215433506302,0.9766926070038912,0.09909561540011558,0.9597197898423818
0.08402204154192466,0.9721400778210117,0.10166552488002176,0.9649737302977233
0.07232657328021695,0.9767421706773451,0.12330810717859952,0.957968476357268
0.06619732381148374,0.9791050583657588,0.09998919705871734,0.9719789842381786
0.056111702300711185,0.9814486041328246,0.09330313419189219,0.9667250437828371
0.06490122621172871,0.9789927090023045,0.11546220994454967,0.957968476357268
0.05581807918780583,0.9814435419893469,0.10101835733693869,0.9667250437828371
0.06603098777354259,0.9783737675191719,0.10081717079658642,0.9597197898423818
0.06785042614364409,0.9775875486381324,0.12024653002280487,0.9562171628721541
0.068479904313454,0.9776653696498055,0.12111383427958772,0.9649737302977233
0.0690947512035079,0.9769701937969855,0.11431542306407738,0.9702276707530648
0.06034643776698495,0.9810894941634242,0.13102094393269192,0.957968476357268
0.056112867392295304,0.9813694986966869,0.10939738111678125,0.9614711033274956
0.05405230384021962,0.9820622568093386,0.09562960488888095,0.9719789842381786
0.0527498691709658,0.9823784518907483,0.08446494281787797,0.9702276707530648
0.04669567741926708,0.9850239129613539,0.10567642649841183,0.9719789842381786
0.0614982380122191,0.979455252918288,0.11157742369717767,0.9649737302977233
0.05890391655051801,0.9810505836575876,0.11153916184726823,0.9719789842381786
0.04901887263646955,0.9846744739526274,0.09799626253010305,0.9649737302977233
0.04616395090758398,0.9850194552529183,0.09910226593710704,0.9737302977232924
0.045501511374458806,0.9854863813229573,0.07389090861554296,0.978984238178634
0.0591758064631259,0.9804734993011219,0.10323644962142207,0.9649737302977233
0.05508041482474141,0.981605379471875,0.10381581171068335,0.9649737302977233
0.05190386379340932,0.9828832307053001,0.10727975387191449,0.968476357267951
0.056417676984678825,0.9809780514525329,0.10126797831413416,0.9632224168126094
0.05674324078405344,0.9817953231838616,0.09000181301860645,0.9772329246935202
0.054441956650194044,0.9819455252918289,0.08791798431158797,0.9772329246935202
0.05340458434809394,0.9836964980544748,0.09267122607723845,0.9632224168126094
0.04599710529744181,0.9856420233463036,0.10156033648628147,0.9702276707530648
0.05395576140579604,0.982612217143289,0.09704092048408688,0.9614711033274956
0.05439529036521886,0.982295719844358,0.10344550779151311,0.9719789842381786
0.05478337844122896,0.9828015564202335,0.1070063748607337,0.9614711033274956
0.04780289152859139,0.9841634241245136,0.13718575406525996,0.968476357267951
0.05553162227837748,0.9817166710740055,0.11570390413030851,0.9509632224168126
0.057893783966793254,0.9819455252918289,0.10840119893830628,0.9667250437828371
0.03584093154661291,0.9885251029428431,0.10361185355108694,0.9719789842381786
0.04413329543640175,0.985603112840467,0.09774527894479798,0.9702276707530648
0.05385988720251358,0.9824976767028069,0.13243837374867626,0.9649737302977233
0.04662727276863389,0.9857231687507084,0.08705610239424869,0.978984238178634
0.0572818547405519,0.9824513618677043,0.08689759194120217,0.9772329246935202
0.04508056325424854,0.9852529182879378,0.08307171276331783,0.9737302977232924
0.04987395933277419,0.9839739337388085,0.08934753675759165,0.9754816112084063
